testament,verse id,book number,book,chapter,verse,text
OT,1,1,创世记,1,1,起 初 ， 　 神 创 造 天 地 。
OT,2,1,创世记,1,2,地 是 空 虚 混 沌 ， 渊 面 黑 暗 ； 　 神 的 灵 运 行 在 水 面 上 。
OT,3,1,创世记,1,3,　 神 说 ： 要 有 光 ， 就 有 了 光 。
OT,4,1,创世记,1,4,　 神 看 光 是 好 的 ， 就 把 光 暗 分 开 了 。
OT,5,1,创世记,1,5,　 神 称 光 为 昼 ， 称 暗 为 夜 。 有 晚 上 ， 有 早 晨 ， 这 是 头 一 日 。
OT,6,1,创世记,1,6,　 神 说 ： 诸 水 之 间 要 有 空 气 ， 将 水 分 为 上 下 。
OT,7,1,创世记,1,7,　 神 就 造 出 空 气 ， 将 空 气 以 下 的 水 、 空 气 以 上 的 水 分 开 了 。 事 就 这 样 成 了 。
OT,8,1,创世记,1,8,　 神 称 空 气 为 天 。 有 晚 上 ， 有 早 晨 ， 是 第 二 日 。
OT,9,1,创世记,1,9,　 神 说 ： 天 下 的 水 要 聚 在 一 处 ， 使 旱 地 露 出 来 。 事 就 这 样 成 了 。
OT,10,1,创世记,1,10,　 神 称 旱 地 为 地 ， 称 水 的 聚 处 为 海 。 　 神 看 着 是 好 的 。
OT,11,1,创世记,1,11,　 神 说 ： 地 要 发 生 青 草 和 结 种 子 的 菜 蔬 ， 并 结 果 子 的 树 木 ， 各 从 其 类 ， 果 子 都 包 着 核 。 事 就 这 样 成 了 。
OT,12,1,创世记,1,12,於 是 地 发 生 了 青 草 和 结 种 子 的 菜 蔬 ， 各 从 其 类 ； 并 结 果 子 的 树 木 ， 各 从 其 类 ； 果 子 都 包 着 核 。 　 神 看 着 是 好 的 。
OT,13,1,创世记,1,13,有 晚 上 ， 有 早 晨 ， 是 第 三 日 。
OT,14,1,创世记,1,14,　 神 说 ： 天 上 要 有 光 体 ， 可 以 分 昼 夜 ， 作 记 号 ， 定 节 令 、 日 子 、 年 岁 ，
