testament,verse id,book number,book,chapter,verse,text
OT,1,1,Genesis,1,1,"In the beginning, God created the heavens and the earth."
OT,2,1,Genesis,1,2,"The earth was without form and void, and darkness was over the face of the deep. And the Spirit of God was hovering over the face of the waters."
OT,3,1,Genesis,1,3,"And God said, ""Let there be light,"" and there was light."
OT,4,1,Genesis,1,4,And God saw that the light was good. And God separated the light from the darkness.
OT,5,1,Genesis,1,5,"God called the light Day, and the darkness he called Night. And there was evening and there was morning, the first day."
OT,6,1,Genesis,1,6,"And God said, ""Let there be an expanse in the midst of the waters, and let it separate the waters from the waters."""
OT,7,1,Genesis,1,7,And God made the expanse and separated the waters that were under the expanse from the waters that were above the expanse. And it was so.
OT,8,1,Genesis,1,8,"And God called the expanse Heaven. And there was evening and there was morning, the second day."
OT,9,1,Genesis,1,9,"And God said, ""Let the waters under the heavens be gathered together into one place, and let the dry land appear."" And it was so."
OT,10,1,Genesis,1,10,"God called the dry land Earth, and the waters that were gathered together he called Seas. And God saw that it was good."
OT,11,1,Genesis,1,11,"And God said, ""Let the earth sprout vegetation, plants yielding seed, and fruit trees bearing fruit in which is their seed, each according to its kind, on the earth."" And it was so."
OT,12,1,Genesis,1,12,"The earth brought forth vegetation, plants yielding seed according to their own kinds, and trees bearing fruit in which is their seed, each according to its kind. And God saw that it was good."
OT,13,1,Genesis,1,13,"And there was evening and there was morning, the third day."
OT,14,1,Genesis,1,14,"And God said, ""Let there be lights in the expanse of the heavens to separate the day from the night. And let them be for signs and for seasons, and for days and years,"
OT,15,1,Genesis,1,15,and let them be lights in the expanse of the heavens to give light upon the earth." And it was so.
OT,16,1,Genesis,1,16,And God made the two great lights--the greater light to rule the day and the lesser light to rule the night--and the stars.
OT,17,1,Genesis,1,17,"And God set them in the expanse of the heavens to give light on the earth,"
OT,18,1,Genesis,1,18,"to rule over the day and over the night, and to separate the light from the darkness. And God saw that it was good."
OT,19,1,Genesis,1,19,"And there was evening and there was morning, the fourth day."
OT,20,1,Genesis,1,20,"And God said, ""Let the waters swarm with swarms of living creatures, and let birds fly above the earth across the expanse of the heavens."""
OT,21,1,Genesis,1,21,"So God created the great sea creatures and every living creature that moves, with which the waters swarm, according to their kinds, and every winged bird according to its kind. And God saw that it was good."
OT,22,1,Genesis,1,22,"And God blessed them, saying, ""Be fruitful and multiply and fill the waters in the seas, and let birds multiply on the earth."""
OT,23,1,Genesis,1,23,"And there was evening and there was morning, the fifth day."
OT,24,1,Genesis,1,24,"And God said, ""Let the earth bring forth living creatures according to their kinds--livestock and creeping things and beasts of the earth according to their kinds."" And it was so."
OT,25,1,Genesis,1,25,"And God made the beasts of the earth according to their kinds and the livestock according to their kinds, and everything that creeps on the ground according to its kind. And God saw that it was good."
OT,26,1,Genesis,1,26,"Then God said, ""Let us make man in our image, after our likeness. And let them have dominion over the fish of the sea and over the birds of the heavens and over the livestock and over all the earth and over every creeping thing that creeps on the earth."""
OT,27,1,Genesis,1,27,"So God created man in his own image, in the image of God he created him; male and female he created them."
OT,28,1,Genesis,1,28,"And God blessed them. And God said to them, ""Be fruitful and multiply and fill the earth and subdue it and have dominion over the fish of the sea and over the birds of the heavens and over every living thing that moves on the earth."""
OT,29,1,Genesis,1,29,"And God said, ""Behold, I have given you every plant yielding seed that is on the face of all the earth, and every tree with seed in its fruit. You shall have them for food."
OT,30,1,Genesis,1,30,"And to every beast of the earth and to every bird of the heavens and to everything that creeps on the earth, everything that has the breath of life, I have given every green plant for food."" And it was so."
OT,31,1,Genesis,1,31,"And God saw everything that he had made, and behold, it was very good. And there was evening and there was morning, the sixth day."
OT,32,1,Genesis,2,1,"Thus the heavens and the earth were finished, and all the host of them."
OT,33,1,Genesis,2,2,"And on the seventh day God finished his work that he had done, and he rested on the seventh day from all his work that he had done."
OT,34,1,Genesis,2,3,"So God blessed the seventh day and made it holy, because on it God rested from all his work that he had done in creation."
OT,35,1,Genesis,2,4,"These are the generations of the heavens and the earth when they were created, in the day that the LORD God made the earth and the heavens."
OT,36,1,Genesis,2,5,"When no bush of the field was yet in the land and no small plant of the field had yet sprung up--for the LORD God had not caused it to rain on the land, and there was no man to work the ground,"
OT,37,1,Genesis,2,6,and a mist was going up from the land and was watering the whole face of the ground--
OT,38,1,Genesis,2,7,"then the LORD God formed the man of dust from the ground and breathed into his nostrils the breath of life, and the man became a living creature."
OT,39,1,Genesis,2,8,"And the LORD God planted a garden in Eden, in the east, and there he put the man whom he had formed."
OT,40,1,Genesis,2,9,"And out of the ground the LORD God made to spring up every tree that is pleasant to the sight and good for food. The tree of life was in the midst of the garden, and the tree of the knowledge of good and evil."
OT,41,1,Genesis,2,10,"A river flowed out of Eden to water the garden, and there it divided and became four rivers."
OT,42,1,Genesis,2,11,"The name of the first is the Pishon. It is the one that flowed around the whole land of Havilah, where there is gold."
OT,43,1,Genesis,2,12,And the gold of that land is good; bdellium and onyx stone are there.
OT,44,1,Genesis,2,13,The name of the second river is the Gihon. It is the one that flowed around the whole land of Cush.
OT,45,1,Genesis,2,14,"And the name of the third river is the Tigris, which flows east of Assyria. And the fourth river is the Euphrates."
OT,46,1,Genesis,2,15,The LORD God took the man and put him in the garden of Eden to work it and keep it.
OT,47,1,Genesis,2,16,"And the LORD God commanded the man, saying, ""You may surely eat of every tree of the garden,"
OT,48,1,Genesis,2,17,"but of the tree of the knowledge of good and evil you shall not eat, for in the day that you eat of it you shall surely die."""
OT,49,1,Genesis,2,18,"Then the LORD God said, ""It is not good that the man should be alone; I will make him a helper fit for him."""
OT,50,1,Genesis,2,19,"So out of the ground the LORD God formed every beast of the field and every bird of the heavens and brought them to the man to see what he would call them. And whatever the man called every living creature, that was its name."
OT,51,1,Genesis,2,20,The man gave names to all livestock and to the birds of the heavens and to every beast of the field. But for Adam there was not found a helper fit for him.
OT,52,1,Genesis,2,21,"So the LORD God caused a deep sleep to fall upon the man, and while he slept took one of his ribs and closed up its place with flesh."
OT,53,1,Genesis,2,22,And the rib that the LORD God had taken from the man he made into a woman and brought her to the man.
OT,54,1,Genesis,2,23,"Then the man said, ""This at last is bone of my bones and flesh of my flesh; she shall be called Woman, because she was taken out of Man."""
OT,55,1,Genesis,2,24,"Therefore a man shall leave his father and his mother and hold fast to his wife, and they shall become one flesh."
OT,56,1,Genesis,2,25,And the man and his wife were both naked and were not ashamed.
OT,57,1,Genesis,3,1,"Now the serpent was more crafty than any other beast of the field that the LORD God had made.He said to the woman, ""Did God actually say, 'You shall not eat of any tree in the garden'?"""
OT,58,1,Genesis,3,2,"And the woman said to the serpent, ""We may eat of the fruit of the trees in the garden,"
OT,59,1,Genesis,3,3,"but God said, 'You shall not eat of the fruit of the tree that is in the midst of the garden, neither shall you touch it, lest you die.'"""
OT,60,1,Genesis,3,4,"But the serpent said to the woman, ""You will not surely die."
OT,61,1,Genesis,3,5,"For God knows that when you eat of it your eyes will be opened, and you will be like God, knowing good and evil."""
OT,62,1,Genesis,3,6,"So when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of its fruit and ate, and she also gave some to her husband who was with her, and he ate."
OT,63,1,Genesis,3,7,"Then the eyes of both were opened, and they knew that they were naked. And they sewed fig leaves together and made themselves loincloths."
OT,64,1,Genesis,3,8,"And they heard the sound of the LORD God walking in the garden in the cool of the day, and the man and his wife hid themselves from the presence of the LORD God among the trees of the garden."
OT,65,1,Genesis,3,9,"But the LORD God called to the man and said to him, ""Where are you?"""
OT,66,1,Genesis,3,10,"And he said, ""I heard the sound of you in the garden, and I was afraid, because I was naked, and I hid myself."""
OT,67,1,Genesis,3,11,"He said, ""Who told you that you were naked? Have you eaten of the tree of which I commanded you not to eat?"""
OT,68,1,Genesis,3,12,"The man said, ""The woman whom you gave to be with me, she gave me fruit of the tree, and I ate."""
OT,69,1,Genesis,3,13,"Then the LORD God said to the woman, ""What is this that you have done?"" The woman said, ""The serpent deceived me, and I ate."""
OT,70,1,Genesis,3,14,"The LORD God said to the serpent, ""Because you have done this, cursed are you above all livestock and above all beasts of the field; on your belly you shall go, and dust you shall eat all the days of your life."
OT,71,1,Genesis,3,15,"I will put enmity between you and the woman, and between your offspring and her offspring; he shall bruise your head, and you shall bruise his heel."""
OT,72,1,Genesis,3,16,"To the woman he said, ""I will surely multiply your pain in childbearing; in pain you shall bring forth children. Your desire shall be for your husband, and he shall rule over you."""
OT,73,1,Genesis,3,17,"And to Adam he said, ""Because you have listened to the voice of your wife and have eaten of the tree of which I commanded you, 'You shall not eat of it,' cursed is the ground because of you; in pain you shall eat of it all the days of your life;"
OT,74,1,Genesis,3,18,thorns and thistles it shall bring forth for you; and you shall eat the plants of the field.
