language,book_name,hit_count,unique_feature_count,avg_score,max_score
cuv,2 Corinthians,72,46,0.6158177909722222,0.672135
cuv,Psalms,59,38,0.5924233008474576,0.65824527
cuv,Acts,46,38,0.598044182826087,0.6490645
cuv,2 Kings,41,32,0.604394082195122,0.66079676
cuv,Ecclesiastes,35,27,0.6133359594285714,0.66535723
cuv,2 Timothy,33,29,0.6012232930303031,0.64995074
cuv,Numbers,31,22,0.585845915483871,0.6634636
cuv,John,29,26,0.6148795551724138,0.6857257
cuv,Judges,28,22,0.5841538910714286,0.6555121
cuv,1 Corinthians,27,25,0.620968547037037,0.6727346
cuv,Romans,26,23,0.6024178,0.66113156
cuv,Jeremiah,25,22,0.611147872,0.66737014
cuv,2 John,22,22,0.6170093600000001,0.6559063
cuv,Proverbs,21,17,0.584967120952381,0.6342837
cuv,Philippians,20,18,0.608365548,0.6496485
cuv,Exodus,20,12,0.536476095,0.5972483
cuv,Isaiah,19,15,0.5814950152631578,0.65946096
cuv,Job,18,13,0.6032805800000001,0.66293865
cuv,1 Samuel,18,16,0.5997118666666666,0.65969324
cuv,1 Kings,17,15,0.6014514552941176,0.6632377
cuv,Ezekiel,17,16,0.5856142552941176,0.65876
cuv,2 Chronicles,14,10,0.5793076835714286,0.66088897
cuv,James,13,12,0.61963061,0.6544447
cuv,1 Thessalonians,13,13,0.5942517215384615,0.65996885
cuv,Galatians,12,11,0.6142328208333333,0.6486438
cuv,1 Timothy,11,10,0.6146619027272727,0.64219487
cuv,Matthew,11,11,0.60122419,0.64760923
cuv,Luke,11,11,0.5811645318181818,0.63643444
cuv,2 Samuel,10,9,0.599227551,0.6312741
cuv,Deuteronomy,10,10,0.593459968,0.6484766
cuv,Revelation,9,9,0.5733507999999999,0.63515925
cuv,Genesis,9,7,0.5624222533333333,0.6036891
cuv,Titus,8,8,0.6059378875,0.6447588
cuv,Micah,8,8,0.589230665,0.619124
cuv,2 Peter,7,6,0.592005442857143,0.64078563
cuv,Lamentations,7,7,0.5837379514285714,0.62913895
cuv,Mark,7,6,0.5750261071428572,0.61329365
cuv,Amos,7,7,0.5740146771428571,0.6161746
cuv,1 Chronicles,6,6,0.5817282316666667,0.62141365
cuv,2 Thessalonians,6,6,0.56559938,0.6118997
cuv,3 John,6,6,0.559749765,0.64090514
cuv,1 Peter,5,5,0.62256866,0.65452486
cuv,Ruth,5,5,0.6077066600000001,0.6312399
cuv,Zechariah,5,4,0.59110198,0.61447453
cuv,Nehemiah,5,4,0.56790579,0.587887
cuv,Jonah,4,2,0.646072075,0.6556163
cuv,Hebrews,4,4,0.6275003625,0.6518181
cuv,Daniel,4,4,0.5736862225,0.5854945
cuv,Song of Solomon,3,3,0.56552468,0.5667773
cuv,Ephesians,3,3,0.5605823033333334,0.59064335
cuv,Joshua,2,2,0.58475646,0.59653836
cuv,Leviticus,2,2,0.56343565,0.5838845
cuv,Colossians,1,1,0.64804494,0.64804494
cuv,Habakkuk,1,1,0.60833424,0.60833424
cuv,1 John,1,1,0.57243234,0.57243234
cuv,Joel,1,1,0.53283405,0.53283405
esv,PSA,50,36,0.5650031132,0.6385489
esv,JER,47,37,0.5883928434042554,0.6621379
esv,2CO,43,33,0.606588458372093,0.6625457
esv,2JN,40,37,0.59106723175,0.64037144
esv,PHP,39,30,0.5919018894871795,0.6465968
esv,1CO,37,31,0.5910341405405406,0.6346593
esv,1SA,35,31,0.5822867828571429,0.6516265
esv,ECC,32,26,0.5933838665625,0.6458564
esv,2SA,30,24,0.580252561,0.6403798
esv,ROM,29,28,0.5817506762068966,0.64253604
esv,PRO,26,21,0.5845568057692307,0.6286303
esv,1CH,25,25,0.5885261036,0.65434235
esv,GEN,25,24,0.5849283512,0.63355845
esv,ISA,24,21,0.56875467,0.649681
esv,JOB,23,20,0.5775018360869566,0.6345391
esv,2TI,22,21,0.5850679636363636,0.6529083
esv,JHN,21,16,0.5904037128571429,0.6607544
esv,PHM,19,18,0.5872365168421052,0.62552214
esv,JAS,19,18,0.5841383994736842,0.6516525
esv,LUK,18,18,0.5546558788888889,0.6056009
esv,1TI,16,13,0.57914085875,0.66096604
esv,EZK,15,14,0.5760323353333334,0.6300679
esv,1JN,15,14,0.575673978,0.6582734
esv,1KI,14,13,0.55037713,0.6147176
esv,LAM,13,12,0.5834783946153846,0.6415472
esv,2KI,12,12,0.5602152825,0.6203543
esv,EXO,12,9,0.5380362583333334,0.60373056
esv,HAB,11,11,0.6016094081818182,0.6538471
esv,SNG,11,8,0.5665249690909091,0.6116188
esv,3JN,11,11,0.5658505136363636,0.61979103
esv,DEU,10,9,0.574484783,0.6271244
esv,HEB,10,9,0.569899821,0.6130076
esv,1PE,9,9,0.5821354866666666,0.65477055
esv,TIT,9,9,0.57396058,0.63152516
esv,ACT,8,8,0.5824341875,0.61798984
esv,DAN,8,8,0.57114681,0.6610695
esv,2PE,7,6,0.5772558771428571,0.6199636
esv,JDG,6,6,0.5909348449999999,0.62242734
esv,ZEP,6,6,0.5693348333333333,0.5900036
esv,1TH,4,4,0.59806986,0.6041342
esv,MAL,4,3,0.59575565,0.6286514
esv,GAL,4,4,0.5723385225,0.58470803
esv,RUT,4,3,0.5555772375,0.5773788
esv,NUM,4,4,0.5505070599999999,0.5800022
esv,2TH,3,3,0.6189989233333334,0.63497245
esv,JON,3,3,0.6025793966666667,0.6401012
esv,MAT,3,3,0.59693381,0.6109839
esv,2CH,3,3,0.5811192433333333,0.62981623
esv,NEH,2,2,0.58418052,0.5919694
esv,LEV,2,2,0.5801883050000001,0.63270706
esv,COL,2,2,0.55729155,0.6260595
esv,EPH,2,2,0.52940517,0.5708075
esv,NAM,1,1,0.64772296,0.64772296
esv,MRK,1,1,0.63162965,0.63162965
esv,REV,1,1,0.5741752,0.5741752
esv,HOS,1,1,0.5619684,0.5619684
esv,JUD,1,1,0.5511052,0.5511052
esv,EZR,1,1,0.54571015,0.54571015
esv,ZEC,1,1,0.5375672,0.5375672
esv,AMO,1,1,0.49236253,0.49236253
